,const,stock-rf,SMB1,HML1,longterm,shortterm,lowquality,convertible
2015-02-28,1.0,0.0456572647163056,0.041457861896325054,-0.04523269210663228,0.016630303099081385,0.0013609448989682824,0.008169832171443256,-0.012158091399920782
2015-03-31,1.0,0.16388011203127428,0.0998734109562156,-0.04066056623534253,-0.04838576276401627,-0.00380070251515061,-0.004196992998539127,0.024704967090927978
2015-04-30,1.0,0.1884013316977915,0.023833692944305707,-0.005559893203677557,0.023903183649639278,0.00546444562747039,0.014378822827685541,0.09110253321718464
2015-05-31,1.0,0.10537672653545038,0.231697766735236,-0.13439029919077272,0.007296026685927775,0.010241630334981605,0.007469986574179971,0.10461226294050718
2015-06-30,1.0,-0.08117382855948863,-0.05592434979894578,0.10459369761779747,0.001525559509777991,0.0028176705226751588,0.0035893829749590713,-0.2698018206250918
2015-07-31,1.0,-0.1422811930010518,-0.0011444219159075786,0.008874790065790839,0.01965197955180466,-0.0021665593808409657,0.011016362913365956,-0.15512033435438197
2015-08-31,1.0,-0.15216488093890235,0.0069537062098168345,-0.002162803421393522,0.023418097422744363,0.00023386676340597288,0.0058800427133377485,-0.0897351671454395
2015-09-30,1.0,-0.04960691994536304,0.01523757233190004,-0.03085230316248022,-0.006335300788626751,-0.0005299009910944997,0.006487481650519279,0.025446345887508617
2015-10-31,1.0,0.14709998194789886,0.10630564645338181,-0.07882622098283576,0.01676315031362594,0.0028993581483115253,0.010302526933468536,0.04099749475850443
2015-11-30,1.0,0.05834148311490717,0.11704403331471158,-0.03384610174885605,-0.00207312344743903,-0.002190491675368323,-0.003774080220579224,-0.0005999492181252182
2015-12-31,1.0,0.04123655791940517,0.058979419234534536,-0.03231240783697409,0.03072315044951106,0.00582639447787552,0.010143849124861484,0.005979499058060102
2016-01-31,1.0,-0.2543234233600966,-0.07854326666377687,0.07002908232587446,0.01078679700668056,-0.0006207434112964205,0.0040820401922813665,-0.10672027643415333
2016-02-29,1.0,-0.02372359621418063,0.0032935064755306165,0.008609596884410431,0.004254543143081463,0.0009492698372385033,0.0055376961810381375,0.0013073236642916208
2016-03-31,1.0,0.1496131961136431,0.06493473416756546,-0.049291020574528166,0.028215952217883106,0.005023399486073572,0.006705690050861763,0.022064525044213096
2016-04-30,1.0,-0.021853102753819464,0.030409538236747524,-0.0010934425660260594,-0.020802668569014478,-0.004049861408625628,-0.016010977430431235,-0.02947287746853245
2016-05-31,1.0,-0.00014693918715114052,-0.024029005475730614,0.004554491344324063,-0.014891267781833037,8.939722066946486e-05,0.005942875704751041,-0.013472514571525216
2016-06-30,1.0,0.03233173006627932,0.050399871310845334,-0.010963485349173796,0.007045850493543775,0.00032594699984244573,0.0060048930301856915,-0.004335821083415799
2016-07-31,1.0,0.008423249115885545,-0.028337169327174228,0.03796852484728497,0.03187131423612926,0.002265259670382205,0.012679119922654072,0.008879437818878724
2016-08-31,1.0,0.050785583528568656,0.022427253089492893,0.006985437336057609,0.013304861562373246,0.002142709840554243,0.009019582444454374,0.022268711882246037
2016-09-30,1.0,-0.020105107430919422,0.025098049680321477,-0.0032604905433230025,0.014970272656056608,0.00044844726712317865,0.0045785361671738,0.003960058532852365
2016-10-31,1.0,0.033670470450449796,0.021731540240770952,0.009258284556882046,0.004628373606985177,0.0011284977015535173,0.0036569647927568744,0.011566998765658339
2016-11-30,1.0,0.04803105692937559,-0.0009630319564291057,0.019504176659856487,-0.02764980340489859,-0.0038576441862230903,-0.006659999248287478,0.005146097852539329
2016-12-31,1.0,-0.05221997221313979,0.010716541800961599,0.015557463538168559,-0.04248423245395261,-0.004266598773431937,-0.017457133430853086,-0.0587323128631001
2017-01-31,1.0,0.005004106369457695,-0.04183457619635378,0.03277781980932226,-0.025336176858985506,-0.0013028335491822815,0.0017687874440408305,0.0014648043070965891
2017-02-28,1.0,0.036807628703231066,0.01870600133871614,-0.008921663862088258,-0.007643887056493288,-0.00034950769412186,-0.0017553414511487131,0.004358254977954761
2017-03-31,1.0,-0.001056961524717459,-0.016357525071548085,0.01655839702468387,0.004375114153382043,-0.0016339246935537792,-0.001169100451527128,-0.01127583119754988
