Company,Time,const,stock-rf,SMB1,HML1,cbci-rf,term,credit,convertible
41,2018-07-31,1.0,0.010484837735714736,-0.01921113844861999,0.028229847675613318,0.009122146175183057,-0.005850479170265599,0.0001276139626253947,0.02868788470086039
42,2018-08-31,1.0,-0.061037462351802185,-0.026600520756162593,0.0167994140015979,-0.001082782713233672,-0.020164752840742928,0.0059765644852782795,-0.008849985625043218
43,2018-09-30,1.0,0.023466873187303117,-0.04049491564440566,0.01634169611519365,0.0012242614091343155,0.0002609735433922733,0.002557103366636948,0.0019226657083747116
44,2018-10-31,1.0,-0.0820881392151338,-0.003897061266281421,0.06271001766936135,0.007627618394875588,0.015256622111390117,-0.0003592992060081901,-0.01437223734913872
45,2018-11-30,1.0,0.009617378329831228,0.06077027758034914,-0.05027446140318481,0.007918545616049273,0.023008561354270318,0.0011874457465776977,0.013760641729640928
46,2018-12-31,1.0,-0.042813063328581924,0.006643466670661846,0.010566617723788863,0.00550475536233172,0.02741735584977012,-0.002765450490146204,-0.020496367675231025
47,2019-01-31,1.0,0.032009923104098004,-0.06758407034607983,0.014627121696975776,0.006662797075186135,-0.00026184426033681873,0.005085737558608194,0.05048918932053137
48,2019-02-28,1.0,0.15804244544692692,0.06849875870693412,-0.07053597863255678,-0.0010428100904748346,-0.005336069444052738,0.006309727678134647,0.07635107654662006
49,2019-03-31,1.0,0.06294392239908153,0.048176953050592,-0.04279491685224901,0.0011262047212519837,0.01463465980455081,0.0009158310585000162,0.033765313079413176
50,2019-04-30,1.0,-0.01231625974820827,-0.038637683981395665,0.004437752679828266,-0.0075013609839684504,-0.04059198580813983,0.005467176425007825,-0.025842418286538636
51,2019-05-31,1.0,-0.05768829958578381,0.027545004855298094,0.008612859542370677,0.005307133095886462,0.005791394687956197,0.003819754474224002,-0.025707922623282718
52,2019-06-30,1.0,0.035817141230875205,-0.03560415188925237,-0.002531330170040813,0.003484454891699429,0.010259696977921173,-0.0024916886068448996,0.010790087995842657
53,2019-07-31,1.0,0.015431669916367685,-0.020944173261332577,-0.004479794239608537,0.004455140209531681,0.0078114007121004025,-0.0017163301606986092,0.023139027326690972
54,2019-08-31,1.0,-0.0018128314305574378,0.002826425656464293,-0.047971222970878524,0.004275029612335296,0.019476720034135253,0.003307824594469322,0.004852766076250753
55,2019-09-30,1.0,0.009635700363982869,0.008403894888141306,0.001400450019645616,-0.00017250484672933007,-0.01365009176034504,0.004354778285893923,0.0025565137987677974
56,2019-10-31,1.0,0.014073771402111301,-0.021263550881631454,-0.009854258074515565,-0.0028879970642923017,-0.017963785793695286,0.0064577527152140934,0.0034773798011730425
57,2019-11-30,1.0,-0.018051279057938352,-0.012116427860525691,-0.0005744526683419959,0.00573483429218284,0.020629042995650826,-0.0022985115193747685,0.0027272273310548333
58,2019-12-31,1.0,0.07003986723282418,0.014638846226924906,-0.01072941870836941,0.004973060811473151,0.006020069394357952,-8.710852700222205e-05,0.05399407721598
59,2020-01-31,1.0,0.0005701313777810579,0.02783943466242378,-0.026756988629963452,0.00455308816582525,0.021010573112594022,-0.0009969264415092827,-2.342786172379943e-05
60,2020-02-29,1.0,-0.0033060498905684854,0.023130212580970477,-0.03625961638454245,0.011019913779444074,0.028116708441851213,-0.0001247331950098296,0.018736206461249145
61,2020-03-31,1.0,-0.05725824744307051,0.016053249057593755,0.008817785063978567,0.0058688029810162546,0.009374902475833835,-0.007139155594775959,-0.022229339548358894
62,2020-04-30,1.0,0.048349948029372536,-0.024859981571827783,-0.027530460485547747,0.01258375776585264,-0.017282493151757006,-0.007982150537355626,0.008968091592433176
63,2020-05-31,1.0,0.008908191840414803,0.026413257747888386,-0.014820166289473913,-0.009423058519086865,-0.02070963646935886,0.01326558173323622,-0.03328431208192683
64,2020-06-30,1.0,0.08290305490964878,0.010768146730910644,-0.04137681147758887,-0.008118400830260386,-0.0007258132311324106,0.0043144166075156365,0.0032706455546809296
65,2020-07-31,1.0,0.16768576194094265,0.0006156023073051742,-0.034573667676539355,-0.005015925530814489,-0.01352068088588887,0.01038955472080516,0.07328263363822034
66,2020-08-31,1.0,0.03444479252836263,0.01487465422331491,-0.016182541890892854,-0.0038722394978871364,0.0014219491608560286,0.005144718204944998,0.00699487677100345
67,2020-09-30,1.0,-0.04678569501413854,-0.018648984555531323,0.009075596293481869,-0.00208626657643233,-0.020209685185896942,0.005010633568319989,-0.036784079477592914
68,2020-10-31,1.0,0.01965040617450331,-0.006950066442752867,-0.013556130436412683,0.0018077060052167733,-0.00021498071337644475,0.00071031082147055,0.016873199925491782
69,2020-11-30,1.0,0.048666883549353335,-0.03443121025320317,0.03743105977761618,0.00011511191448480731,0.002528751021828146,-0.006563319046587468,0.005351835680949809
70,2020-12-31,1.0,0.028649269850227643,-0.05240922310178164,-0.04692364761136392,0.005936911881435119,0.018503546500745705,-0.004146688898334583,-0.001721399722468726
