date,002001.OF,002021.OF,040001.OF,040004.OF,050001.OF,050007.OF,050201.OF,070001.OF,090001.OF,100016.OF,110001.OF,121002.OF,161605.OF,180001.OF,217002.OF,255010.OF,270001.OF,270002.OF,373010.OF,519732.OF
2015-01-31,,,,,,,,,,,,,,,,,,,,
2015-02-28,0.04148457373948222,0.04274904438723781,0.0388467751957251,0.046473418612838824,0.009906260849438686,0.024961051276840784,0.014097652028686403,0.06385570459948942,0.05362816580653473,0.11427546995851046,0.04902861643475975,0.042206566863756345,0.0333859926276987,0.1080369167392854,0.030878995433790024,0.05669126009740166,0.1498210700881557,0.04151387655845906,0.06711931977450392,0.05622188905547221
2015-03-31,0.0776977516127011,0.09146904067230222,0.09899995215082069,0.14281086065318438,0.11044393005294162,0.034629745894326325,0.1030758052797287,0.20441722192332645,0.13885547944011578,0.18534522386687513,0.17579094454524613,0.11972156839076997,0.15081023236852853,0.15636227143546577,0.07931454515253855,0.13685663032979156,0.12855353550688875,0.13190030575372935,0.18670830657871695,0.13200851667849545
2015-04-30,0.07598967897905573,0.07978249445954888,0.1229972135144548,0.09746603571973744,0.11822009411376211,0.07872632621123565,0.11869318930312223,0.16219776192057922,0.1171653784342237,0.1091289847203909,0.14814289261768776,0.07695210032699706,0.12013195474572158,0.08920318417188344,0.0482468515146075,0.10149536340243714,0.09218403174816725,0.07737013571697515,0.13219705354288092,0.12225705329153613
2015-05-31,0.08168423781541656,0.08288017604367237,0.050381886558368505,0.1287293970373462,-0.025692137320044273,0.07552700142112734,-0.027084314649081453,0.2807288997516457,0.09554733525140424,0.1672902097902098,0.14477058550903754,0.1506314542633589,0.13928804380052573,0.20811455169869153,0.1845698345894098,0.23572451790633608,0.24221709006928394,0.16693765290461804,0.27342833557805113,0.19329608938547493
2015-06-30,-0.06122550879785893,-0.06502794169369641,-0.028144320383870047,-0.11603732065839278,0.012180798666363346,-0.1232416659784733,0.003469700637456663,-0.1499003485875663,-0.037992096443399626,-0.09787476223996172,-0.11821702811028201,-0.051080179788313806,-0.1332581540596809,-0.16858723614194593,-0.11701885935014755,-0.1705159529881758,-0.22113978334696704,-0.0922455889055277,-0.19963835485576842,-0.12734082397003743
2015-07-31,-0.052517365728084076,-0.05634273772204812,-0.13197873148499817,-0.06816891871707809,-0.11122756452246818,-0.1005337519623235,-0.1133000964940496,-0.07767508803055956,-0.09164651743233754,-0.1789852906996049,-0.14067736949235554,-0.09516096994514645,-0.08110650733601554,-0.11526017604091598,-0.0962195293126843,-0.08712104923672326,-0.1528803309993635,-0.0022378103886043776,-0.16068459866149454,-0.10407725321888417
2015-08-31,-0.024508813292915654,-0.033684723391061655,-0.07293808794574497,-0.14692084931770344,-0.09130727762803237,-0.030682770175928464,-0.0912306157613132,-0.11767361520040831,-0.07423149579254684,-0.09641477766768447,-0.07709843452243126,-0.07869096067140613,-0.08212255211623498,-0.14319477491576305,-0.08290839437786346,-0.09998115785011075,-0.11109650029117268,-0.03443318237366111,-0.08674674318799358,-0.08862275449101786
2015-09-30,-0.010047533002635722,-0.010634153049297379,-0.026666037379648788,-0.00354494438320474,-0.032258064516129004,-0.007130253159998601,-0.035874663207264734,-0.01211318991791066,-0.017978327072608935,-0.021819402484054895,0.030953299884214358,-0.005242031562162075,-0.032607921778959215,-0.02696909829649241,0.0013265594129268088,-0.01952215214717501,0.05743992899258221,-0.01663192376414535,0.003559213636237235,0.03088042049934292
2015-10-31,0.021147720138582127,0.026407838958511842,0.11644765553023317,0.17497391544834007,0.07947796934865892,0.049327191614377375,0.07586813641774048,0.170830846835486,0.11993514466517641,0.14513841226264002,0.14012428870919447,0.08420393197354126,0.12187522998797928,0.1703794510314709,0.0845336415142206,0.11591533883150507,0.15694386154245854,0.056357221810032776,0.14488376603585373,0.15105162523900573
2015-11-30,-0.001024671820386458,0.0019183461599223683,0.0613476948467937,0.07505242435913884,0.015439561658421752,-0.012719919809201174,0.00971667708884505,0.04359282588834934,0.054916016585845995,0.18440084708514815,0.094483664422919,0.015464881124347851,0.06009052940018811,0.09042257209256666,0.05754236407110924,0.10000000000000009,0.021989980998445402,0.02130007883609264,0.06302032913843192,0.12181616832779607
