date,000110.OF,000121.OF,000367.OF,000436.OF,000507.OF,000508.OF,000639.OF,000804.OF,000894.OF,090006.OF,121001.OF,151002.OF,162205.OF,253010.OF,340001.OF,350001.OF,420009.OF,450001.OF,519050.OF,540004.OF
2015-01-31,,,,,,,,,,,,,,,,,,,,
2015-02-28,0.014030501089324687,0.029268292682926855,0.02361489554950058,0.012374323279195742,0.009199632014719406,0.009242144177449285,-0.001612903225806428,0.011787819253438192,0.01189296333002976,0.024761989898538506,0.01736802361502021,0.00809931118007734,-9.27213722763387e-05,0.010293687188994038,0.009307356010175516,0.01857142857142846,0.011725293132328396,0.01786031949336464,0.01735015772870674,0.0585638446493435
2015-03-31,0.03429013406668968,0.05292259083728279,0.028393966282165062,0.016042780748663166,0.017319963536919003,0.017399267399267337,0.00992384029540716,0.030097087378640586,0.027424094025465307,0.102412003314869,0.09372469635627545,0.005030785403213667,0.025268916913946615,0.018639238978222172,0.05828730115608671,0.16762973352033672,0.038079470198675525,0.13771889964696427,0.007751937984496138,0.1508208837037428
2015-04-30,0.03340257582052342,0.02775693923480871,0.011216566005176842,0.020300751879699153,0.009856630824372603,0.00900090009000909,0.0312309567336988,0.05655042412818112,0.024785510009532885,0.1380811078140456,0.07310753285211913,0.0204706761299962,0.01035589924478808,0.01663901398435641,0.11139475185396464,0.09155335607552972,0.03668261562998398,0.07524040677132926,0.005384615384615321,0.13077981651376147
2015-05-31,0.009085792393664027,0.024087591240875783,0.017918088737201465,0.033898305084745894,0.016858917480035318,0.01605709188224802,0.04306396808982127,0.08920606601248893,0.039069767441860526,0.13718060142534338,0.11279751638496016,0.02069453595919679,0.013539521976546398,0.0245267182691411,0.08003233629749396,0.2439641701696853,0.05615384615384622,0.10937767872449844,0.00841622035195111,0.1952050626749422
2015-06-30,0.008605577689243082,0.009978617248752597,0.011735121542330251,0.013542409123307175,0.014834205933682565,0.01492537313432818,0.01678351391544508,-0.019656019656019708,-0.025962399283795845,-0.12362813732383615,-0.08937797065509401,-0.0016975493126121233,0.00803727174369051,0.011196067722555991,-0.1422512118619903,-0.17046459785570223,-0.017479970866715266,-0.07834955957348178,0.011380880121395931,-0.1494416726063198
2015-07-31,0.00821614789066194,-0.004940014114326097,-0.0008285004142503105,0.030942334739803012,0.002579535683576939,0.0017301038062282892,-0.007521938988717003,-0.009189640768588192,-0.022058823529411797,-0.07737119335821674,-0.10766292219826779,-0.0003113474158163987,0.00536656955731285,0.003150598613736566,-0.08402243922709329,-0.10787638364578667,0.002965159377316562,-0.06181533646322368,0.0,-0.14437350359138057
2015-08-31,0.010813352139163124,-0.0007092198581559739,-0.00746268656716409,0.0020463847203275876,0.0017152658662091813,0.0008635578583766623,0.0015438596491228473,-0.001686340640809414,-0.008458646616541499,-0.09493742674581263,-0.048426406697043456,-0.003258187393689771,0.0028977297485730524,-0.00628140703517599,-0.03269367448471927,-0.08565827535920056,-0.002956393200295615,-0.09790897176218272,-0.009002250562640701,-0.16864098498274416
2015-09-30,-0.0009302325581396209,0.0035486160397444344,0.005012531328320913,0.010211027910142834,0.0025684931506850806,0.0017256255392579245,0.004484304932735439,0.0008445945945947386,-0.00663507109004724,-0.023143119725958727,0.015033407572383028,0.0027160197091695704,0.0018900306315308146,0.001580278128950896,0.00861381649913251,0.018511739789781823,0.002965159377316562,-0.01611358758461301,0.0015140045420136694,-0.020026926960619362
2015-10-31,0.007603972687771687,0.012729844413012836,0.014962593516209433,0.03908355795148255,0.002561912894961438,0.0025839793281652312,0.01960100446428581,0.014936708860759484,0.014312977099236512,0.11016079370509746,0.0880965441579813,0.007526727072246997,0.004293334489787082,0.0174007122571338,0.04431321491676732,0.1307439544077631,0.011086474501108778,0.09279457663523183,0.006046863189720364,0.16348961016658103
